dt,name,temp,wind_speed,pressure,humidity
1692385279,London,302.84,4.07,1003,7
1692316800,London,297.61,4.51,1005,12
1692320400,London,296.52,4.86,1005,13
1692324000,London,296.62,4.54,1006,14
1692327600,London,299.13,5.3,1006,12
1692331200,London,301.42,5.81,1007,11
1692334800,London,303.83,5.75,1006,9
1692338400,London,305.88,5.27,1006,8
1692342000,London,308.02,4.67,1005,6
1692345600,London,309.87,4.19,1004,5
1692349200,London,311.3,3.96,1003,4
1692352800,London,312.17,4.07,1002,4
1692356400,London,312.5,4.68,1001,4
1692360000,London,312.12,5.26,1001,4
1692363600,London,311.28,5.29,1002,4
1692367200,London,308.83,4.37,1002,4
1692370800,London,306.4,4.62,1003,5
1692374400,London,305.33,4.96,1003,5
1692378000,London,304.53,4.94,1003,6
1692381600,London,303.89,4.75,1003,6
1692385200,London,302.84,4.07,1003,7
1692298881,London,302.0,3.71,1004,8
1692230400,London,296.24,4.17,1005,14
1692234000,London,295.31,4.56,1006,16
1692237600,London,295.42,4.5,1007,16
1692241200,London,297.84,5.43,1008,15
1692244800,London,300.12,5.87,1008,13
1692248400,London,302.32,5.76,1008,11
1692252000,London,304.66,5.43,1007,9
1692255600,London,306.7,5.08,1006,8
1692259200,London,308.38,4.76,1005,6
1692262800,London,309.62,4.43,1005,6
1692266400,London,310.38,4.06,1004,5
1692270000,London,310.89,3.62,1003,5
1692273600,London,311.18,3.92,1003,5
1692277200,London,310.64,4.81,1002,5
1692280800,London,308.55,4.4,1003,5
1692284400,London,306.43,4.05,1003,6
1692288000,London,305.25,4.45,1003,6
1692291600,London,304.21,4.53,1004,7
1692295200,London,303.19,4.4,1004,7
1692298800,London,302.0,3.71,1004,8
1692302400,London,300.94,2.99,1004,9
1692306000,London,299.71,3.33,1004,10
1692309600,London,298.96,3.89,1004,10
1692313200,London,298.41,4.08,1004,11
1692212482,London,300.56,3.96,1005,10
1692144000,London,295.33,4.51,1006,13
1692147600,London,294.3,4.87,1007,15
1692151200,London,294.28,4.77,1008,17
1692154800,London,296.56,5.63,1009,14
1692158400,London,298.88,5.74,1009,11
1692162000,London,301.36,5.56,1008,9
1692165600,London,303.51,5.32,1008,8
1692169200,London,305.5,5.38,1007,7
1692172800,London,307.2,5.48,1006,6
1692176400,London,308.42,5.63,1005,5
1692180000,London,309.19,5.3,1004,5
1692183600,London,309.76,4.85,1004,5
1692187200,London,309.63,4.41,1003,5
1692190800,London,308.96,4.3,1003,5
1692194400,London,306.71,4.7,1004,6
1692198000,London,303.9,4.87,1004,8
1692201600,London,303.04,4.25,1005,8
1692205200,London,302.28,4.05,1005,9
1692208800,London,301.26,4.09,1005,9
1692212400,London,300.56,3.96,1005,10
1692216000,London,299.9,3.83,1005,11
1692219600,London,298.91,3.6,1005,11
1692223200,London,297.93,3.51,1005,12
1692226800,London,297.04,3.62,1005,13
1692126083,London,300.77,4.03,1005,11
1692057600,London,296.44,5.27,1004,16
1692061200,London,295.37,5.14,1005,16
1692064800,London,295.47,4.88,1006,15
1692068400,London,297.43,6.17,1007,13
1692072000,London,299.37,6.51,1007,11
1692075600,London,301.58,6.14,1007,9
1692079200,London,303.76,5.53,1007,8
1692082800,London,305.7,5.24,1006,7
1692086400,London,307.41,4.97,1005,7
1692090000,London,308.85,4.96,1004,6
1692093600,London,309.84,4.97,1003,6
1692097200,London,310.44,4.71,1002,6
1692100800,London,310.23,4.67,1002,6
1692104400,London,309.56,4.74,1002,6
1692108000,London,307.6,4.07,1002,7
1692111600,London,305.12,3.57,1003,8
1692115200,London,304.07,3.81,1004,9
1692118800,London,302.8,4.23,1005,10
1692122400,London,301.97,4.01,1005,10
1692126000,London,300.77,4.03,1005,11
1692129600,London,299.85,4.34,1005,11
1692133200,London,298.96,4.22,1005,11
1692136800,London,298.0,3.97,1005,11
1692140400,London,296.9,4.18,1006,12
1692039685,London,302.2,2.87,1002,10
1691971200,London,296.87,5.64,1002,14
1691974800,London,295.62,5.51,1003,16
1691978400,London,295.77,5.55,1004,16
1691982000,London,297.9,6.51,1004,13
1691985600,London,299.8,6.04,1005,12
1691989200,London,301.89,5.12,1005,11
1691992800,London,304.0,5.23,1004,9
1691996400,London,305.99,5.42,1004,8
1692000000,London,307.65,5.37,1003,7
1692003600,London,309.0,5.13,1002,6
1692007200,London,310.1,4.7,1001,6
1692010800,London,311.0,4.05,1000,6
1692014400,London,311.01,3.4,1000,6
1692018000,London,310.96,2.74,1000,6
1692021600,London,308.91,2.51,1000,7
1692025200,London,306.3,2.87,1000,8
1692028800,London,304.43,2.0,1001,9
1692032400,London,303.23,3.76,1002,10
1692036000,London,302.41,2.91,1002,10
1692039600,London,302.2,2.87,1002,10
1692043200,London,301.21,3.22,1002,11
1692046800,London,300.11,3.16,1003,12
1692050400,London,298.67,5.72,1003,14
1692054000,London,297.66,5.65,1004,15
1692385286,New York,297.44,5.63,1007,72
1692316800,New York,297.51,5.2,1012,88
1692320400,New York,297.82,5.37,1012,88
1692324000,New York,297.72,5.59,1012,91
1692327600,New York,297.63,6.29,1011,90
1692331200,New York,297.72,6.56,1011,89
1692334800,New York,297.13,6.79,1010,91
1692338400,New York,297.79,6.73,1009,89
1692342000,New York,298.02,7.14,1008,90
1692345600,New York,298.07,7.68,1008,87
1692349200,New York,298.2,8.36,1007,85
1692352800,New York,298.18,9.26,1007,83
1692356400,New York,298.5,8.61,1007,82
1692360000,New York,298.12,8.28,1006,85
1692363600,New York,297.98,7.65,1006,84
1692367200,New York,298.24,6.24,1006,82
1692370800,New York,297.4,6.19,1006,85
1692374400,New York,296.63,8.26,1007,80
1692378000,New York,296.53,8.31,1007,77
1692381600,New York,296.79,7.07,1007,76
1692385200,New York,297.44,5.63,1007,72
1692298887,New York,296.4,5.53,1013,92
1692230400,New York,297.14,1.18,1014,83
1692234000,New York,297.41,1.46,1015,84
1692237600,New York,297.32,2.53,1015,85
1692241200,New York,296.95,4.59,1015,90
1692244800,New York,296.62,5.25,1015,92
1692248400,New York,296.52,4.96,1015,91
1692252000,New York,296.46,4.26,1014,91
1692255600,New York,296.4,3.88,1015,90
1692259200,New York,296.38,3.43,1015,89
1692262800,New York,296.52,3.02,1014,87
1692266400,New York,296.48,3.19,1015,87
1692270000,New York,296.39,3.8,1015,87
1692273600,New York,296.58,3.43,1015,87
1692277200,New York,296.74,3.55,1015,86
1692280800,New York,296.56,4.23,1015,88
1692284400,New York,296.53,4.92,1015,90
1692288000,New York,296.65,5.94,1015,90
1692291600,New York,296.61,5.71,1014,90
1692295200,New York,296.39,5.68,1014,91
1692298800,New York,296.4,5.53,1013,92
1692302400,New York,296.44,5.49,1013,92
1692306000,New York,296.91,5.63,1012,89
1692309600,New York,297.46,4.46,1012,87
1692313200,New York,297.71,5.53,1012,85
1692212489,New York,297.17,3.73,1013,86
1692144000,New York,296.93,6.62,1008,93
1692147600,New York,296.4,7.44,1010,95
1692151200,New York,296.18,5.48,1010,95
1692154800,New York,296.17,6.16,1010,95
1692158400,New York,295.99,5.58,1010,96
1692162000,New York,296.26,5.33,1010,97
1692165600,New York,297.02,1.7,1009,93
1692169200,New York,296.2,1.46,1009,94
1692172800,New York,296.4,0.32,1010,94
1692176400,New York,295.92,1.06,1010,94
1692180000,New York,295.59,1.27,1011,94
1692183600,New York,296.16,3.8,1011,94
1692187200,New York,296.53,3.24,1012,95
1692190800,New York,296.76,4.15,1012,94
1692194400,New York,296.71,4.24,1013,93
1692198000,New York,296.6,3.92,1013,93
1692201600,New York,296.94,2.19,1013,87
1692205200,New York,297.58,3.26,1013,84
1692208800,New York,297.37,3.64,1013,84
1692212400,New York,297.17,3.73,1013,86
1692216000,New York,297.0,3.26,1013,86
1692219600,New York,297.21,2.69,1013,84
1692223200,New York,297.53,2.02,1013,82
1692226800,New York,297.54,1.39,1014,81
1692126090,New York,298.08,2.28,1008,89
1692057600,New York,298.44,4.37,1013,78
